,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1143,24,20,24,26,32,24,24,18,19,13,20,24,24,26,30,34,33,28,35,44,51,61,65,67
1161,65,54,52,47,55,59,58,59,52,56,60,56,59,49,65,51,56,43,42,34,34,45,47,46
1179,37,43,45,42,39,35,36,36,33,39,41,57,60,71,69,75,70,74,65,58,46,54,53,46
1197,40,40,38,33,38,42,49,44,40,34,34,27,20,14,21,20,23,16,15,20,23,30,29,30
1215,28,21,24,22,32,31,34,28,21,20,0,24,25,29,25,26,22,22,20,17,23,26,30,34
1233,43,44,43,34,41,30,32,30,38,44,42,25,25,32,30,24,26,23,25,26,25,32,38,40
1251,40,41,41,36,37,40,44,45,36,33,33,40,35,22,19,19,24,21,21,20,25,24,31,35
1269,44,42,36,32,32,35,33,34,42,59,63,59,54,47,47,48,44,39,31,43,48,62,61,64
1287,56,53,46,47,49,47,42,37,41,37,45,42,48,36,0,0,0,0,0,0,0,-3,11,12
1305,24,23,26,18,24,21,32,20,23,15,21,20,19,20,22,24,21,19,14,14,10,15,9,14
1323,24,30,24,24,18,20,16,13,11,16,24,24,24,21,23,24,24,23,20,20,21,24,30,32
1341,29,25,24,26,24,24,22,24,21,28,37,45,41,43,51,54,43,39,34,33,29,27,27,24
1359,25,21,19,19,18,19,19,27,30,36,39,41,37,36,30,29,26,25,27,24,25,26,27,28
1377,31,31,32,30,31,34,30,33,34,36,29,23,24,0,34,28,19,5,13,19,29,26,25,28
1395,24,26,19,14,8,14,23,27,28,25,29,25,29,24,23,18,15,21,16,22,22,25,20,14
1413,17,17,14,11,15,22,24,34,35,51,47,54,40,42,30,34,29,23,20,19,30,30,29,26
1431,28,29,24,22,21,21,24,24,34,27,31,28,34,31,31,28,25,24,22,27,29,34,30,35
1449,28,26,24,28,29,31,28,30,30,34,34,37,43,42,42,33,33,27,22,20,17,24,18,20
1467,18,22,21,24,24,16,7,11,15,20,11,17,21,27,19,18,20,29,25,29,25,30,30,34
1485,29,24,20,18,20,14,15,11,10,4,14,25,45,40,38,28,29,27,25,30,25,25,21,24
1503,24,24,15,4,1,1,4,16,22,25,24,30,37,33,33,26,24,20,24,21,24,21,27,24
1521,31,30,34,27,19,7,1,0,1,1,3,4,4,3,1,3,2,9,11,15,14,14,14,9
1539,13,12,1,2,8,8,14,16,20,18,16,21,28,28,24,21,24,30,29,25,24,20,15,20
1557,19,24,14,15,24,25,30,30,37,44,43,39,29,25,14,14,12,20,11,14,16,23,18,14
1575,15,18,19,21,21,23,24,29,30,30,33,30,29,24,21,29,21,19,10,11,9,21,24,27
1593,24,21,24,20,17,14,18,17,24,27,37,31,40,39,50,44,48,47,46,45,43,44,44,42
1611,39,36,37,26,11,4,8,10,5,8,6,10,10,13,10,6,4,4,9,15,19,28,33,30
1629,19,14,15,11,4,2,3,4,1,1,2,7,18,14,14,9,14,15,14,15,14,14,10,12
1647,12,14,4,4,4,7,4,-3,1,4,8,14,9,10,8,14,13,14,10,4,2,6,14,10
1665,4,10,8,9,-3,1,1,4,9,9,10,11,12,15,10,12,5,5,4,6,10,10,10,4
1683,4,5,11,4,4,1,8,5,8,7,10,0,54,5,1,3,9,14,16,12,13,11,14,14
1701,14,10,8,7,2,1,1,1,3,1,4,6,11,14,12,14,12,6,3,1,2,5,3,3
1719,1,3,4,3,1,1,2,2,1,6,6,13,13,12,12,14,18,25,30,26,21,16,17,17
1737,8,7,3,5,2,4,2,4,4,11,10,22,20,20,9,12,14,16,11,12,8,15,14,13
1755,7,6,6,6,9,7,10,10,15,14,16,15,17,14,7,4,1,1,-1,1,9,11,5,1
1773,2,1,1,1,1,-3,-1,1,4,11,8,12,5,9,4,4,3,5,6,9,10,7,4,1
1791,3,1,5,6,4,1,1,1,1,3,3,14,14,17,7,4,3,4,4,7,9,10,8,6
1809,14,16,25,27,30,30,27,32,32,31,36,38,31,32,29,27,26,21,24,16,17,21,21,15
1827,12,12,16,12,14,14,18,20,15,11,15,12,22,13,13,2,1,4,8,11,13,12,7,11
1845,12,13,4,5,4,3,1,1,7,15,17,0,54,6,1,4,5,14,11,9,3,6,12,17
1863,11,7,1,4,2,6,4,6,5,10,12,14,12,17,21,24,29,24,24,21,22,23,25,31
1881,29,31,23,19,9,13,15,14,14,16,18,20,14,17,8,9,6,11,10,11,9,12,14,15
1899,12,6,4,5,2,4,5,7,5,1,5,5,8,4,9,9,11,12,11,10,9,10,7,5
1917,5,5,1,1,1,3,2,2,3,5,6,14,14,16,10,5,1,4,5,5,6,4,5,1
1935,6,5,6,3,5,7,9,36,37,36,8,9,7,11,7,12,6,11,5,7,10,7,6,3
1953,11,12,14,4,7,6,11,12,14,18,24,19,15,14,16,20,20,20,13,7,9,11,21,14
1971,11,1,4,4,5,5,6,9,8,7,5,8,4,11,6,11,3,10,11,12,10,4,1,1
1989,2,2,2,2,3,1,1,3,10,9,11,5,6,7,15,13,13,8,9,10,11,9,10,6
2007,14,13,14,5,6,3,10,12,14,15,16,0,24,25,27,25,33,34,31,31,35,38,33,33
2025,33,41,38,36,29,26,26,27,31,36,39,40,38,39,29,26,20,19,15,15,14,15,14,12
2043,10,14,10,7,4,4,4,6,11,10,8,10,15,24,36,40,43,36,37,34,25,34,36,44
2061,39,41,36,36,32,34,35,39,38,34,31,24,26,25,28,21,16,10,7,10,12,15,16,18
2079,16,11,6,1,1,3,5,6,5,10,8,11,8,15,11,11,12,21,22,24,23,23,19,20
2097,11,5,4,7,14,9,14,13,14,11,4,4,6,13,15,9,6,6,14,13,9,8,9,11
2115,8,11,10,12,14,12,10,6,11,13,17,18,23,22,4,4,5,8,19,19,19,13,8,11
2133,3,14,12,18,15,13,5,4,4,10,12,17,18,22,10,6,11,12,15,14,14,12,15,22
2151,22,21,14,15,15,15,15,16,22,20,24,20,16,12,6,5,9,12,16,9,10,6,14,11
2169,11,8,8,8,8,7,4,6,12,16,27,30,34,31,26,8,3,9,12,15,14,14,18,22
2187,22,14,12,10,13,9,7,7,10,10,11,12,14,17,25,27,24,22,22,21,27,37,42,40
2205,33,34,34,24,20,14,11,11,10,14,13,17,24,32,32,30,24,23,26,28,36,38,42,37
2223,34,27,34,40,41,23,23,30,111,115,118,35,32,33,30,30,21,24,23,31,30,34,39,45
2241,46,38,34,28,33,27,30,27,30,32,40,41,44,38,35,22,15,16,24,24,18,15,11,11
2259,13,19,17,11,11,11,9,13,21,28,33,29,37,30,25,17,15,17,16,24,35,42,34,24
2277,22,25,34,31,28,24,30,26,24,16,14,0,2,10,14,14,16,14,15,14,14,14,13,11
2295,4,2,3,3,1,1,-3,2,2,7,21,14,6,17,20,21,24,18,21,15,14,13,10,14
2313,7,7,4,10,14,19,16,10,12,10,17,18,18,18,20,21,20,20,21,29,27,34,12,13
2331,20,22,28,20,17,13,14,12,9,10,7,6,4,11,13,14,17,22,26,18,12,14,-3,-3
2349,-3,1,1,7,8,3,1,4,9,17,14,21,18,19,10,12,13,20,14,14,15,21,6,1
2367,2,1,-3,-3,-3,-3,-3,8,9,14,14,9,11,15,22,24,24,19,15,21,23,19,12,8
2385,3,4,5,10,8,4,1,4,4,14,8,13,14,18,21,19,15,11,20,21,20,14,14,9
2403,4,2,4,1,3,1,1,1,1,4,5,10,14,0,0,16,13,5,1,2,3,11,8,7
2421,15,30,31,25,16,19,21,32,29,18,13,14,24,31,21,2,7,15,16,19,22,24,25,17
2439,19,21,24,16,7,6,14,22,24,20,24,34,34,33,24,27,24,25,17,24,27,23,14,14
2457,22,21,15,25,38,42,38,26,30,29,51,53,55,49,42,42,36,38,31,25,21,28,40,39
2475,36,26,32,27,26,20,21,33,30,27,23,25,40,45,51,40,27,21,0,0,34,0,14,15
2493,25,22,21,8,3,3,14,18,25,25,36,26,33,23,23,17,12,14,7,14,21,28,27,27
2511,27,39,32,27,23,22,26,34,36,39,24,28,20,21,13,12,10,24,34,53,57,45,38,30
2529,28,33,39,36,32,24,31,26,25,33,33,37,31,32,15,21,28,45,45,46,37,38,26,29
2547,20,17,14,14,17,16,19,18,21,19,23,30,39,45,44,34,31,26,26,22,31,30,24,20
2565,12,20,17,22,20,15,19,21,19,15,16,12,15,19,20,26,29,39,31,28,26,26,20,16
2583,15,6,8,4,4,4,4,7,7,9,28,33,44,22,12,7,20,33,34,26,22,17,22,21
2601,20,16,16,15,17,14,15,18,19,12,12,13,20,16,30,16,29,21,23,13,10,16,20,28
2619,28,27,21,21,23,27,24,18,17,10,14,8,19,27,33,40,39,33,24,13,18,24,31,34
2637,34,31,29,22,35,33,36,20,14,14,19,19,19,27,22,36,18,18,10,15,20,24,25,24
2655,14,9,12,6,7,4,9,11,18,17,20,16,12,9,20,24,29,23,31,32,28,28,30,28
2673,15,9,11,9,9,8,13,7,8,14,11,18,19,19,15,6,12,14,14,21,21,21,17,15
2691,22,14,7,5,8,9,7,4,4,3,9,13,15,21,15,8,14,26,39,34,27,14,8,13
2709,17,23,13,6,4,10,14,12,12,10,17,14,14,6,6,4,8,17,27,17,15,14,14,14
2727,6,12,12,19,13,7,1,4,4,6,10,17,14,12,14,9,9,4,14,13,19,11,15,8
2745,8,1,6,5,13,8,14,10,14,12,13,8,7,4,21,19,32,21,17,8,16,17,20,13
2763,18,21,15,7,1,7,5,8,3,13,15,17,8,8,8,14,16,28,39,31,24,15,24,20
2781,28,17,24,14,21,17,28,24,20,14,0,94,42,48,44,21,17,21,20,15,18,17,24,16
2799,33,33,29,20,16,26,18,22,20,20,15,20,23,23,13,23,26,36,28,27,28,32,25,15
2817,16,32,37,23,6,13,18,32,27,27,14,20,22,32,20,21,24,29,34,33,45,41,32,20
2835,14,14,14,14,19,11,14,7,15,15,14,0,8,34,52,42,27,14,24,15,14,13,8,12
2853,12,13,15,8,7,1,1,6,11,14,17,11,13,4,13,19,27,34,28,27,21,20,11,11
2871,4,6,4,0,0,0,0,0,0,0,0,19,15,15,4,4,16,29,34,29,21,21,18,14
2889,38,35,33,29,24,32,23,30,28,32,35,37,38,31,25,28,24,22,18,23,24,28,34,41
2907,47,42,32,20,22,22,30,18,33,31,42,34,44,35,35,24,34,21,24,15,14,12,11,14
2925,12,10,34,32,34,24,35,40,44,33,50,28,32,21,24,19,13,24,35,37,28,24,20,23
2943,14,22,15,18,17,22,21,22,37,40,43,0,-3,24,24,36,60,50,45,33,37,35,28,30
2961,18,24,16,25,27,27,16,10,23,37,38,33,23,30,54,54,46,34,24,27,21,33,29,37
2979,44,49,52,38,31,27,35,29,23,26,26,33,33,46,55,59,59,45,30,21,16,26,34,44
2997,32,39,34,39,27,29,33,37,41,38,35,39,40,41,31,30,34,43,35,28,31,45,57,56
3015,46,34,33,28,23,11,14,16,47,52,52,36,27,28,9,21,15,23,12,30,34,48,37,37
3033,20,7,4,9,8,1,3,14,36,33,32,20,41,41,44,24,15,15,16,26,20,28,24,32
3051,26,23,13,17,21,16,12,8,8,15,17,20,0,0,-3,4,7,3,2,8,17,38,36,34
3069,23,15,20,21,29,27,34,34,32,33,41,62,64,54,11,8,22,24,27,21,28,28,35,35
3087,43,44,42,36,32,31,27,26,24,23,28,27,20,0,0,-2,0,10,14,20,12,10,12,16
3105,16,16,17,13,11,7,4,7,8,17,27,20,13,14,10,3,6,18,14,19,21,30,22,23
3123,14,17,13,14,20,14,15,8,16,24,24,24,16,19,21,28,27,24,28,35,40,45,50,49
3141,42,34,32,31,35,34,33,35,40,52,59,64,58,56,49,43,34,31,34,31,35,36,34,27
3159,15,10,13,14,17,17,25,18,24,28,0,36,35,21,27,24,34,22,24,24,33,34,32,28
3177,27,26,28,28,21,25,22,33,23,31,31,27,24,37,29,25,21,26,33,39,35,42,38,42
3195,31,32,33,38,38,42,33,37,34,53,58,70,65,61,53,50,53,53,57,55,55,53,56,54
3213,52,39,36,38,35,41,42,31,16,15,29,48,65,70,70,69,60,56,47,50,50,50,55,57
3231,65,64,58,55,57,57,56,55,65,82,81,68,45,34,28,32,28,35,26,22,14,9,11,6
3249,25,31,45,42,47,36,45,42,48,45,44,45,48,51,36,30,23,23,24,21,25,29,28,28
3267,29,34,31,34,31,29,23,25,33,36,34,30,29,30,31,29,25,25,25,28,32,32,30,33
3285,31,34,29,34,31,20,19,14,20,19,25,31,35,35,33,27,33,29,33,29,29,27,31,34
3303,35,34,25,27,17,35,34,37,29,21,24,21,23,23,24,27,27,24,18,18,18,19,13,12
3321,10,11,8,8,5,16,19,20,14,8,11,11,16,19,21,17,23,21,23,23,23,24,21,18
3339,18,14,14,5,13,14,18,17,21,19,24,26,36,29,0,34,32,35,32,36,31,34,31,32
3357,35,39,39,32,25,28,29,30,32,32,39,34,38,30,24,16,14,16,21,22,23,22,19,16
3375,20,18,18,13,16,18,24,24,26,23,34,28,25,21,25,29,25,24,26,24,24,12,16,13
3393,25,21,29,29,31,25,19,21,34,40,42,31,27,21,17,17,19,21,24,20,14,7,8,4
3411,4,4,4,5,6,14,13,15,19,20,14,10,14,17,15,14,14,10,6,8,13,16,10,14
3429,10,16,12,19,12,14,7,20,16,18,15,19,29,27,27,24,27,31,27,32,27,30,20,18
3447,14,14,13,10,10,15,20,24,24,17,20,18,19,21,19,24,17,24,27,34,32,30,29,32
3465,26,22,17,19,19,23,24,21,21,18,25,21,24,29,35,35,36,42,46,52,47,45,39,42
3483,46,49,46,48,39,43,41,46,43,33,32,22,32,33,39,33,40,42,50,45,48,55,57,62
3501,65,58,56,50,55,52,47,51,49,47,0,34,47,44,48,42,48,52,55,63,63,63,61,72
3519,70,73,65,73,68,68,62,68,69,59,-3,36,45,41,37,29,28,32,29,29,29,37,34,36
3537,33,44,39,45,39,41,31,35,39,48,51,54,57,55,52,44,42,42,39,34,39,43,46,46
3555,52,48,34,34,34,41,36,39,37,42,40,45,46,44,43,38,34,30,33,38,46,47,55,52
3573,54,44,39,34,35,36,36,35,38,37,52,56,52,47,45,50,47,59,66,69,62,66,61,60
3591,47,44,35,41,44,45,44,45,50,58,55,44,42,41,49,34,30,25,36,52,69,65,55,34
3609,111,114,121,119,119,115,117,121,112,103,90,86,75,65,63,60,58,50,42,33,34,35,39,53
3627,60,70,69,73,70,66,63,64,53,47,45,40,31,19,18,19,15,21,19,23,16,14,14,15
3645,17,17,13,12,10,15,16,19,21,22,22,-3,37,37,39,45,50,47,45,40,38,29,28,21
3663,22,18,18,18,14,16,20,27,28,25,25,34,34,31,28,25,25,16,14,11,20,25,27,24
3681,24,25,26,27,29,25,23,24,33,34,38,32,37,34,44,45,48,41,34,34,35,49,55,61
3699,57,55,50,48,45,44,45,49,58,52,34,18,14,22,23,24,22,21,26,31,33,25,27,29
3717,34,37,31,32,25,32,30,36,39,50,54,56,44,37,38,46,54,48,39,38,36,34,25,27
3735,33,35,35,35,33,37,45,49,57,56,60,54,46,48,55,66,78,73,78,67,65,47,34,23
3753,18,17,18,22,23,23,20,10,14,11,20,15,16,13,14,12,13,7,11,11,11,13,7,15
3771,15,23,18,17,10,9,14,21,26,26,24,25,25,32,32,34,34,25,24,18,24,17,24,22
3789,25,24,23,22,21,20,25,35,44,45,40,41,51,58,60,45,41,34,40,35,45,45,52,50
3807,55,47,42,32,33,38,42,38,24,23,24,29,22,21,21,22,26,24,31,24,22,16,16,23
3825,21,24,21,26,30,33,33,29,39,34,36,34,34,32,24,29,24,37,38,41,34,35,35,26
3843,19,16,17,19,16,18,19,31,30,35,30,0,37,40,40,53,52,42,25,17,18,11,13,14
3861,19,20,19,21,23,22,18,16,17,21,19,26,29,35,33,30,32,45,54,59,71,75,85,75
3879,58,46,43,35,24,10,14,8,14,20,18,16,13,19,20,19,15,17,14,19,14,11,8,7
3897,10,15,13,20,7,12,3,6,7,7,6,1,1,2,5,11,-3,22,13,12,8,18,15,18
3915,14,18,17,12,13,12,18,21,30,25,25,24,20,26,26,27,22,15,23,20,25,17,15,12
3933,10,13,8,16,15,15,17,22,32,32,41,47,52,56,67,86,82,72,46,42,33,37,35,38
3951,35,39,34,34,29,30,28,33,41,41,36,27,30,34,36,0,37,40,44,45,45,44,47,48
3969,70,52,40,34,25,16,11,11,9,5,6,6,10,12,12,16,25,34,33,31,25,30,29,29
3987,26,21,26,22,24,28,32,31,27,30,35,29,26,24,25,24,27,26,30,18,17,19,26,34
4005,24,22,20,25,24,24,21,21,24,31,43,45,40,33,0,42,44,45,53,48,44,41,38,39
4023,34,34,33,20,12,1,1,3,5,4,2,1,4,4,13,15,20,22,22,30,24,29,22,27
4041,24,31,28,23,14,12,17,17,18,17,28,37,35,29,26,32,35,42,37,32,26,29,39,42
4059,49,52,53,48,40,35,37,36,43,31,21,11,17,25,26,32,35,-3,0,0,0,0,0,0
4077,0,0,0,0,0,0,0,0,0,0,-3,46,29,36,38,52,54,51,38,35,40,47,47,45
4095,45,43,40,49,44,38,32,33,24,17,17,18,18,14,14,10,14,25,43,42,34,16,21,24
4113,31,26,27,24,14,18,18,25,17,26,0,44,53,50,52,55,71,80,68,53,48,52,49,43
4131,52,55,46,46,48,56,55,54,67,77,0,72,57,45,45,44,31,28,30,30,29,24,25,24
4149,19,15,13,14,14,8,4,7,10,15,13,13,15,14,14,19,29,29,19,14,15,15,12,6
4167,14,18,26,16,12,4,5,1,4,2,3,7,12,26,32,52,59,75,70,63,53,45,41,34
4185,33,40,40,43,31,21,12,24,34,-3,0,0,0,0,0,0,0,34,47,47,42,32,25,26
4203,33,38,47,44,44,43,53,56,55,49,54,55,61,59,59,58,61,63,65,64,72,83,87,90
4221,85,89,85,88,85,89,83,84,81,-3,75,55,37,34,33,30,22,28,38,47,52,52,47,34
4239,31,34,34,29,24,26,28,29,32,26,22,20,19,20,20,20,26,32,46,56,58,54,53,44
4257,45,35,41,37,33,23,26,27,34,37,33,32,0,28,31,24,20,24,27,28,24,21,18,13
4275,23,32,33,24,13,14,10,17,28,34,41,42,45,47,47,45,37,40,38,42,40,45,47,43
4293,42,35,35,34,40,41,42,44,62,71,74,54,32,24,21,26,26,26,27,26,27,26,22,24
4311,24,18,18,14,14,4,6,11,20,24,24,20,15,17,16,25,24,28,31,41,49,51,48,49
